seqname,source,feature,HP_number,start,end,Putative_Id,Orf_Size,Prot_Size(est),score,strand,frame,attribute
.,forsyth,gene,HP0019,18380,19342,chemotaxis protein (cheV) {Bacillus subtilis},962,35310,.,+,.,gene=HP0019;Putative_Id=chemotaxis protein (cheV) {Bacillus subtilis};Orf_Size=962;Prot_Size(est)=35310.0
.,forsyth,gene,HP0020,19342,20556,carboxynorspermidine decarboxylase (nspC) {Synechocystis sp.},1214,44550,.,+,.,gene=HP0020;Putative_Id=carboxynorspermidine decarboxylase (nspC) {Synechocystis sp.};Orf_Size=1214;Prot_Size(est)=44550.0
.,forsyth,gene,HP0021,20572,21141,hypothetical protein,569,20900,.,-,.,gene=HP0021;Putative_Id=hypothetical protein;Orf_Size=569;Prot_Size(est)=20900.0
.,forsyth,gene,HP0022,21155,22717,conserved hypothetical integral membrane protein {Salmonella choleraesuis},1562,57310,.,-,.,gene=HP0022;Putative_Id=conserved hypothetical integral membrane protein {Salmonella choleraesuis};Orf_Size=1562;Prot_Size(est)=57310.0
.,forsyth,gene,HP0023,22773,22889,hypothetical protein,116,4290,.,+,.,gene=HP0023;Putative_Id=hypothetical protein;Orf_Size=116;Prot_Size(est)=4290.0
.,forsyth,gene,HP0024,22903,22992,hypothetical protein,89,3300,.,+,.,gene=HP0024;Putative_Id=hypothetical protein;Orf_Size=89;Prot_Size(est)=3300.0
.,forsyth,gene,HP0025,23327,25459,outer membrane protein (omp2),2132,78210,.,-,.,gene=HP0025;Putative_Id=outer membrane protein (omp2);Orf_Size=2132;Prot_Size(est)=78210.0
.,forsyth,gene,HP0026,26081,27358,citrate synthase (gltA) {Rickettsia prowazekii},1277,46860,.,-,.,gene=HP0026;Putative_Id=citrate synthase (gltA) {Rickettsia prowazekii};Orf_Size=1277;Prot_Size(est)=46860.0
.,forsyth,gene,HP0027,27557,28831,isocitrate dehydrogenase (icd) {Escherichia coli},1274,46750,.,+,.,gene=HP0027;Putative_Id=isocitrate dehydrogenase (icd) {Escherichia coli};Orf_Size=1274;Prot_Size(est)=46750.0
.,forsyth,gene,HP0028,28901,29431,conserved hypothetical secreted protein {Haemophilus influenzae},530,19470,.,+,.,gene=HP0028;Putative_Id=conserved hypothetical secreted protein {Haemophilus influenzae};Orf_Size=530;Prot_Size(est)=19470.0
.,forsyth,gene,HP0029,29414,30067,dethiobiotin synthetase (bioD) {Methanococcus jannaschii},653,23980,.,-,.,gene=HP0029;Putative_Id=dethiobiotin synthetase (bioD) {Methanococcus jannaschii};Orf_Size=653;Prot_Size(est)=23980.0
.,forsyth,gene,HP0030,30074,31852,hypothetical protein,1778,65230,.,-,.,gene=HP0030;Putative_Id=hypothetical protein;Orf_Size=1778;Prot_Size(est)=65230.0
.,forsyth,gene,HP0031,31961,32371,hypothetical protein,410,15070,.,+,.,gene=HP0031;Putative_Id=hypothetical protein;Orf_Size=410;Prot_Size(est)=15070.0
.,forsyth,gene,HP0032,32405,32677,conserved hypothetical protein {Escherichia coli},272,10010,.,+,.,gene=HP0032;Putative_Id=conserved hypothetical protein {Escherichia coli};Orf_Size=272;Prot_Size(est)=10010.0
.,forsyth,gene,HP0033,32680,34902,ATP-dependent C1p protease (clpA) {Escherichia coli},2222,81510,.,+,.,gene=HP0033;Putative_Id=ATP-dependent C1p protease (clpA) {Escherichia coli};Orf_Size=2222;Prot_Size(est)=81510.0
.,forsyth,gene,HP0034,34895,35245,aspartate 1-decarboxylase (panD) {Bacillus subtilis},350,12870,.,+,.,gene=HP0034;Putative_Id=aspartate 1-decarboxylase (panD) {Bacillus subtilis};Orf_Size=350;Prot_Size(est)=12870.0
.,forsyth,gene,HP0035,35251,35541,conserved hypothetical protein {Escherichia coli},290,10670,.,+,.,gene=HP0035;Putative_Id=conserved hypothetical protein {Escherichia coli};Orf_Size=290;Prot_Size(est)=10670.0
.,forsyth,gene,HP0036,35544,36545,hypothetical protein,1001,36740,.,+,.,gene=HP0036;Putative_Id=hypothetical protein;Orf_Size=1001;Prot_Size(est)=36740.0
.,forsyth,gene,HP0037,36556,37608,NADH-ubiquinone oxidoreductase subunit {Trypanosoma brucei},1052,38610,.,+,.,gene=HP0037;Putative_Id=NADH-ubiquinone oxidoreductase subunit {Trypanosoma brucei};Orf_Size=1052;Prot_Size(est)=38610.0
.,forsyth,gene,HP0038,37738,38472,hypothetical protein,734,26950,.,+,.,gene=HP0038;Putative_Id=hypothetical protein;Orf_Size=734;Prot_Size(est)=26950.0
.,forsyth,gene,HP0039,38472,38741,hypothetical protein,269,9900,.,+,.,gene=HP0039;Putative_Id=hypothetical protein;Orf_Size=269;Prot_Size(est)=9900.0
.,forsyth,gene,HP0040,38710,39450,hypothetical protein,740,27170,.,+,.,gene=HP0040;Putative_Id=hypothetical protein;Orf_Size=740;Prot_Size(est)=27170.0
.,forsyth,gene,HP0041,39446,39814,hypothetical protein,368,13530,.,+,.,gene=HP0041;Putative_Id=hypothetical protein;Orf_Size=368;Prot_Size(est)=13530.0
.,forsyth,gene,HP0042,39880,40578,trbI protein {Escherichia coli},698,25630,.,+,.,gene=HP0042;Putative_Id=trbI protein {Escherichia coli};Orf_Size=698;Prot_Size(est)=25630.0
.,forsyth,gene,HP0043,40651,42060,mannose-6-phosphate isomerase (pmi) or (algA)  {Pseudomonas aeruginosa},1409,51700,.,+,.,gene=HP0043;Putative_Id=mannose-6-phosphate isomerase (pmi) or (algA)  {Pseudomonas aeruginosa};Orf_Size=1409;Prot_Size(est)=51700.0
.,forsyth,gene,HP0044,42105,43247,GDP-D-mannose dehydratase (rfbD) {Vibrio cholerae},1142,41910,.,+,.,gene=HP0044;Putative_Id=GDP-D-mannose dehydratase (rfbD) {Vibrio cholerae};Orf_Size=1142;Prot_Size(est)=41910.0
.,forsyth,gene,HP0045,43243,44172,nodulation protein (nolK) {Azorhizobium caulinodans},929,34100,.,+,.,gene=HP0045;Putative_Id=nodulation protein (nolK) {Azorhizobium caulinodans};Orf_Size=929;Prot_Size(est)=34100.0
.,forsyth,gene,HP0046,44299,44433,hypothetical protein,134,4950,.,+,.,gene=HP0046;Putative_Id=hypothetical protein;Orf_Size=134;Prot_Size(est)=4950.0
.,forsyth,gene,HP0047,45044,46039,hydrogenase expression/formation protein (hypE) {Rhodobacter capsulatus},995,36520,.,-,.,gene=HP0047;Putative_Id=hydrogenase expression/formation protein (hypE) {Rhodobacter capsulatus};Orf_Size=995;Prot_Size(est)=36520.0
.,forsyth,gene,HP0048,46045,48351,transcriptional regulator (hypF) {Rhodobacter capsulatus},2306,84590,.,-,.,gene=HP0048;Putative_Id=transcriptional regulator (hypF) {Rhodobacter capsulatus};Orf_Size=2306;Prot_Size(est)=84590.0
.,forsyth,gene,HP0049,48294,49283,hypothetical protein,989,36300,.,-,.,gene=HP0049;Putative_Id=hypothetical protein;Orf_Size=989;Prot_Size(est)=36300.0
.,forsyth,gene,HP0050,49338,50033,adenine specific DNA methyltransferase (dpnA) {Streptococcus pneumonia},695,25520,.,-,.,gene=HP0050;Putative_Id=adenine specific DNA methyltransferase (dpnA) {Streptococcus pneumonia};Orf_Size=695;Prot_Size(est)=25520.0
.,forsyth,gene,HP0051,50033,51097,cytosine specific DNA methyltransferase (DDEM) {Desulfovibrio desulfuricans},1064,39050,.,-,.,gene=HP0051;Putative_Id=cytosine specific DNA methyltransferase (DDEM) {Desulfovibrio desulfuricans};Orf_Size=1064;Prot_Size(est)=39050.0
.,forsyth,gene,HP0052,51275,52264,hypothetical protein,989,36300,.,-,.,gene=HP0052;Putative_Id=hypothetical protein;Orf_Size=989;Prot_Size(est)=36300.0
.,forsyth,gene,HP0053,52462,53718,hypothetical protein,1256,46090,.,-,.,gene=HP0053;Putative_Id=hypothetical protein;Orf_Size=1256;Prot_Size(est)=46090.0
.,forsyth,gene,HP0054,53718,56186,adenine/cytosine DNA methyltransferase {Haemophilus paragallinarum},2468,90530,.,-,.,gene=HP0054;Putative_Id=adenine/cytosine DNA methyltransferase {Haemophilus paragallinarum};Orf_Size=2468;Prot_Size(est)=90530.0
.,forsyth,gene,HP0055,56227,57714,proline permease (putP) {Escherichia coli},1487,54560,.,-,.,gene=HP0055;Putative_Id=proline permease (putP) {Escherichia coli};Orf_Size=1487;Prot_Size(est)=54560.0
.,forsyth,gene,HP0056,57744,61298,delta-1-pyrroline-5-carboxylate dehydrogenase {Synechocystis sp.),3554,130350,.,-,.,gene=HP0056;Putative_Id=delta-1-pyrroline-5-carboxylate dehydrogenase {Synechocystis sp.);Orf_Size=3554;Prot_Size(est)=130350.0
.,forsyth,gene,HP0057,61619,61825,hypothetical protein,206,7590,.,+,.,gene=HP0057;Putative_Id=hypothetical protein;Orf_Size=206;Prot_Size(est)=7590.0
.,forsyth,gene,HP0058,61943,63140,hypothetical protein,1197,43926.66667,.,+,.,gene=HP0058;Putative_Id=hypothetical protein;Orf_Size=1197;Prot_Size(est)=43926.666666666664
.,forsyth,gene,HP0059,63145,63996,hypothetical protein,851,31240,.,+,.,gene=HP0059;Putative_Id=hypothetical protein;Orf_Size=851;Prot_Size(est)=31240.0
.,forsyth,gene,HP0060,64016,66454,hypothetical protein,2438,89430,.,+,.,gene=HP0060;Putative_Id=hypothetical protein;Orf_Size=2438;Prot_Size(est)=89430.0
.,forsyth,gene,HP0061,66454,67020,hypothetical protein,566,20790,.,+,.,gene=HP0061;Putative_Id=hypothetical protein;Orf_Size=566;Prot_Size(est)=20790.0
.,forsyth,gene,HP0062,67039,67296,hypothetical protein,257,9460,.,+,.,gene=HP0062;Putative_Id=hypothetical protein;Orf_Size=257;Prot_Size(est)=9460.0
.,forsyth,gene,HP0063,67310,68797,hypothetical protein,1487,54560,.,+,.,gene=HP0063;Putative_Id=hypothetical protein;Orf_Size=1487;Prot_Size(est)=54560.0
.,forsyth,gene,HP0064,68770,69186,hypothetical protein,416,15290,.,+,.,gene=HP0064;Putative_Id=hypothetical protein;Orf_Size=416;Prot_Size(est)=15290.0
.,forsyth,gene,HP0065,69191,69541,hypothetical protein,350,12870,.,+,.,gene=HP0065;Putative_Id=hypothetical protein;Orf_Size=350;Prot_Size(est)=12870.0
.,forsyth,gene,HP0066,69468,71960,conserved hypothetical ATP-binding protein {Bacillus subtilis},2492,91410,.,+,.,gene=HP0066;Putative_Id=conserved hypothetical ATP-binding protein {Bacillus subtilis};Orf_Size=2492;Prot_Size(est)=91410.0
.,forsyth,gene,HP0067,72024,72818,urease accessory protein (ureH) {Helicobacter pylori},794,29150,.,-,.,gene=HP0067;Putative_Id=urease accessory protein (ureH) {Helicobacter pylori};Orf_Size=794;Prot_Size(est)=29150.0
.,forsyth,gene,HP0068,72821,73417,urease accessory protein (ureG) {Helicobacter pylori},596,21890,.,-,.,gene=HP0068;Putative_Id=urease accessory protein (ureG) {Helicobacter pylori};Orf_Size=596;Prot_Size(est)=21890.0
.,forsyth,gene,HP0069,73449,74210,urease accessory protein (ureF) {Helicobacter pylori},761,27940,.,-,.,gene=HP0069;Putative_Id=urease accessory protein (ureF) {Helicobacter pylori};Orf_Size=761;Prot_Size(est)=27940.0
.,forsyth,gene,HP0070,74236,74745,urease accessory protein (ureE) {Helicobacter pylori},509,18700,.,-,.,gene=HP0070;Putative_Id=urease accessory protein (ureE) {Helicobacter pylori};Orf_Size=509;Prot_Size(est)=18700.0
.,forsyth,gene,HP0071,74750,75334,urease accessory protein (ureI) {Helicobacter pylori},584,21450,.,-,.,gene=HP0071;Putative_Id=urease accessory protein (ureI) {Helicobacter pylori};Orf_Size=584;Prot_Size(est)=21450.0
.,forsyth,gene,HP0072,75530,77236,urease beta subunit (urea amidohydrolase) (ureB) {Helicobacter  pylori},1706,62590,.,-,.,gene=HP0072;Putative_Id=urease beta subunit (urea amidohydrolase) (ureB) {Helicobacter  pylori};Orf_Size=1706;Prot_Size(est)=62590.0
.,forsyth,gene,HP0073,77243,77956,urease alpha subunit (ureA) (urea amidohydrolase) {Helicobacter pylori},713,26180,.,-,.,gene=HP0073;Putative_Id=urease alpha subunit (ureA) (urea amidohydrolase) {Helicobacter pylori};Orf_Size=713;Prot_Size(est)=26180.0
.,forsyth,gene,HP0074,78305,78775,lipoprotein signal peptidase (lspA) {Helicobacter pylori},470,17270,.,-,.,gene=HP0074;Putative_Id=lipoprotein signal peptidase (lspA) {Helicobacter pylori};Orf_Size=470;Prot_Size(est)=17270.0
.,forsyth,gene,HP0075,78772,80106,urease protein (ureC) {Helicobacter pylori},1334,48950,.,-,.,gene=HP0075;Putative_Id=urease protein (ureC) {Helicobacter pylori};Orf_Size=1334;Prot_Size(est)=48950.0
.,forsyth,gene,HP0076,80196,80462,ribosomal protein S20 (rps20) {Rhizobium meliloti},266,9790,.,+,.,gene=HP0076;Putative_Id=ribosomal protein S20 (rps20) {Rhizobium meliloti};Orf_Size=266;Prot_Size(est)=9790.0
.,forsyth,gene,HP0077,80589,81644,peptide chain release factor RF-1 (prfA) {Escherichia coli},1055,38720,.,+,.,gene=HP0077;Putative_Id=peptide chain release factor RF-1 (prfA) {Escherichia coli};Orf_Size=1055;Prot_Size(est)=38720.0
.,forsyth,gene,HP0078,82058,82312,hypothetical protein,254,9350,.,+,.,gene=HP0078;Putative_Id=hypothetical protein;Orf_Size=254;Prot_Size(est)=9350.0
.,forsyth,gene,HP0079,82326,84110,outer membrane protein (omp3),1784,65450,.,+,.,gene=HP0079;Putative_Id=outer membrane protein (omp3);Orf_Size=1784;Prot_Size(est)=65450.0
.,forsyth,gene,HP0080,84359,86137,hypothetical protein,1778,65230,.,+,.,gene=HP0080;Putative_Id=hypothetical protein;Orf_Size=1778;Prot_Size(est)=65230.0
.,forsyth,gene,HP0081,86410,86529,hypothetical protein,119,4400,.,+,.,gene=HP0081;Putative_Id=hypothetical protein;Orf_Size=119;Prot_Size(est)=4400.0
.,forsyth,gene,HP0082,86659,88677,methyl-accepting chemotaxis transducer (tlpC) {Bacillus subtilis},2018,74030,.,-,.,gene=HP0082;Putative_Id=methyl-accepting chemotaxis transducer (tlpC) {Bacillus subtilis};Orf_Size=2018;Prot_Size(est)=74030.0
.,forsyth,gene,HP0083,88836,89222,ribosomal protein S9 (rps9) {Escherichia coli},386,14190,.,-,.,gene=HP0083;Putative_Id=ribosomal protein S9 (rps9) {Escherichia coli};Orf_Size=386;Prot_Size(est)=14190.0
.,forsyth,gene,HP0084,89222,89644,ribosomal protein L13 (rpl13) {Escherichia coli},422,15510,.,-,.,gene=HP0084;Putative_Id=ribosomal protein L13 (rpl13) {Escherichia coli};Orf_Size=422;Prot_Size(est)=15510.0
.,forsyth,gene,HP0085,89960,90145,hypothetical protein,185,6820,.,-,.,gene=HP0085;Putative_Id=hypothetical protein;Orf_Size=185;Prot_Size(est)=6820.0
.,forsyth,gene,HP0086,90155,91504,conserved hypothetical protein {Escherichia coli},1349,49500,.,-,.,gene=HP0086;Putative_Id=conserved hypothetical protein {Escherichia coli};Orf_Size=1349;Prot_Size(est)=49500.0
.,forsyth,gene,HP0087,91561,92931,hypothetical protein,1370,50270,.,-,.,gene=HP0087;Putative_Id=hypothetical protein;Orf_Size=1370;Prot_Size(est)=50270.0
.,forsyth,gene,HP0088,92955,94967,RNA polymerase sigma-70 factor (rpoD) {Haemophilus influenzae},2012,73810,.,-,.,gene=HP0088;Putative_Id=RNA polymerase sigma-70 factor (rpoD) {Haemophilus influenzae};Orf_Size=2012;Prot_Size(est)=73810.0
.,forsyth,gene,HP0089,95194,95886,pfs protein (pfs) {Haemophilus influenzae},692,25410,.,-,.,gene=HP0089;Putative_Id=pfs protein (pfs) {Haemophilus influenzae};Orf_Size=692;Prot_Size(est)=25410.0
.,forsyth,gene,HP0090,95900,96826,malonyl coenzyme A-acyl carrier protein transacylase (fabD) {Haemophilus influenzae},926,33990,.,-,.,gene=HP0090;Putative_Id=malonyl coenzyme A-acyl carrier protein transacylase (fabD) {Haemophilus influenzae};Orf_Size=926;Prot_Size(est)=33990.0
.,forsyth,gene,HP0091,97256,98086,type II restriction enzyme R protein (hsdR) {Moraxella bovis},830,30470,.,+,.,gene=HP0091;Putative_Id=type II restriction enzyme R protein (hsdR) {Moraxella bovis};Orf_Size=830;Prot_Size(est)=30470.0
.,forsyth,gene,HP0092,98083,98913,type II restriction enzyme M protein (hsdM) {Moraxella bovis},830,30470,.,+,.,gene=HP0092;Putative_Id=type II restriction enzyme M protein (hsdM) {Moraxella bovis};Orf_Size=830;Prot_Size(est)=30470.0
.,forsyth,gene,HP0093,98939,99268,hypothetical protein,329,12100,.,-,.,gene=HP0093;Putative_Id=hypothetical protein;Orf_Size=329;Prot_Size(est)=12100.0
.,forsyth,gene,HP0094,99376,99840,conserved hypothetical protein {Yersinia enterocolitica},464,17050,.,-,.,gene=HP0094;Putative_Id=conserved hypothetical protein {Yersinia enterocolitica};Orf_Size=464;Prot_Size(est)=17050.0
.,forsyth,gene,HP0095,99942,100469,hypothetical protein,527,19360,.,-,.,gene=HP0095;Putative_Id=hypothetical protein;Orf_Size=527;Prot_Size(est)=19360.0
.,forsyth,gene,HP0096,100542,101483,phosphoglycerate dehydrogenase {Methanococcus jannaschii},941,34540,.,+,.,gene=HP0096;Putative_Id=phosphoglycerate dehydrogenase {Methanococcus jannaschii};Orf_Size=941;Prot_Size(est)=34540.0
.,forsyth,gene,HP0097,101646,102356,hypothetical protein,710,26070,.,-,.,gene=HP0097;Putative_Id=hypothetical protein;Orf_Size=710;Prot_Size(est)=26070.0
.,forsyth,gene,HP0098,102464,103921,threonine synthase (thrC) {Haemophilus influenzae},1457,53460,.,-,.,gene=HP0098;Putative_Id=threonine synthase (thrC) {Haemophilus influenzae};Orf_Size=1457;Prot_Size(est)=53460.0
.,forsyth,gene,HP0099,104125,106149,methyl-accepting chemotaxis protein (tlpA) {Bacillus subtilis},2024,74250,.,+,.,gene=HP0099;Putative_Id=methyl-accepting chemotaxis protein (tlpA) {Bacillus subtilis};Orf_Size=2024;Prot_Size(est)=74250.0
.,forsyth,gene,HP0100,106152,107255,conserved hypothetical protein {Haemophilus influenzae},1103,40480,.,+,.,gene=HP0100;Putative_Id=conserved hypothetical protein {Haemophilus influenzae};Orf_Size=1103;Prot_Size(est)=40480.0
.,forsyth,gene,HP0101,107471,108229,hypothetical protein,758,27830,.,+,.,gene=HP0101;Putative_Id=hypothetical protein;Orf_Size=758;Prot_Size(est)=27830.0
.,forsyth,gene,HP0102,108218,108994,conserved hypothetical protein {Yersinia enterocolitica},776,28490,.,-,.,gene=HP0102;Putative_Id=conserved hypothetical protein {Yersinia enterocolitica};Orf_Size=776;Prot_Size(est)=28490.0
.,forsyth,gene,HP0103,109028,110722,methyl-accepting chemotaxis protein (tlpB) {Bacillus subtilis},1694,62150,.,-,.,gene=HP0103;Putative_Id=methyl-accepting chemotaxis protein (tlpB) {Bacillus subtilis};Orf_Size=1694;Prot_Size(est)=62150.0
.,forsyth,gene,HP0104,110931,112673,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (cpdB) {Haemophilus influenzae}",1742,63910,.,-,.,"gene=HP0104;Putative_Id=2',3'-cyclic-nucleotide 2'-phosphodiesterase (cpdB) {Haemophilus influenzae};Orf_Size=1742;Prot_Size(est)=63910.0"
.,forsyth,gene,HP0105,112831,113295,conserved hypothetical protein {Haemophilus influenzae},464,17050,.,-,.,gene=HP0105;Putative_Id=conserved hypothetical protein {Haemophilus influenzae};Orf_Size=464;Prot_Size(est)=17050.0
.,forsyth,gene,HP0106,113336,114475,cystathionine gamma-synthase (metB) {Haemophilus influenzae},1139,41800,.,-,.,gene=HP0106;Putative_Id=cystathionine gamma-synthase (metB) {Haemophilus influenzae};Orf_Size=1139;Prot_Size(est)=41800.0
.,forsyth,gene,HP0107,114503,115420,cysteine synthetase (cysK) {Bacillus subtilis},917,33660,.,-,.,gene=HP0107;Putative_Id=cysteine synthetase (cysK) {Bacillus subtilis};Orf_Size=917;Prot_Size(est)=33660.0
.,forsyth,gene,HP0108,115459,116016,hypothetical protein,557,20460,.,+,.,gene=HP0108;Putative_Id=hypothetical protein;Orf_Size=557;Prot_Size(est)=20460.0
.,forsyth,gene,HP0109,116365,118224,chaperone and heat shock protein 70 (dnaK) {Rhizobium meliloti},1859,68200,.,-,.,gene=HP0109;Putative_Id=chaperone and heat shock protein 70 (dnaK) {Rhizobium meliloti};Orf_Size=1859;Prot_Size(est)=68200.0
.,forsyth,gene,HP0110,118257,118823,co-chaperone and heat shock protein (grpE) {Bacillus subtilis},566,20790,.,-,.,gene=HP0110;Putative_Id=co-chaperone and heat shock protein (grpE) {Bacillus subtilis};Orf_Size=566;Prot_Size(est)=20790.0
.,forsyth,gene,HP0111,118826,119653,hypothetical protein,827,30360,.,-,.,gene=HP0111;Putative_Id=hypothetical protein;Orf_Size=827;Prot_Size(est)=30360.0
.,forsyth,gene,HP0112,119980,120672,hypothetical protein,692,25410,.,+,.,gene=HP0112;Putative_Id=hypothetical protein;Orf_Size=692;Prot_Size(est)=25410.0
.,forsyth,gene,HP0113,120696,120989,hypothetical protein,293,10780,.,+,.,gene=HP0113;Putative_Id=hypothetical protein;Orf_Size=293;Prot_Size(est)=10780.0
.,forsyth,gene,HP0114,121005,122888,hypothetical protein,1883,69080,.,-,.,gene=HP0114;Putative_Id=hypothetical protein;Orf_Size=1883;Prot_Size(est)=69080.0
.,forsyth,gene,HP0115,122951,124492,flagellin B (flaB) {Helicobacter pylori},1541,56540,.,-,.,gene=HP0115;Putative_Id=flagellin B (flaB) {Helicobacter pylori};Orf_Size=1541;Prot_Size(est)=56540.0
.,forsyth,gene,HP0116,124658,126865,DNA topoisomerase I (topA) {Bacillus subtilis},2207,80960,.,+,.,gene=HP0116;Putative_Id=DNA topoisomerase I (topA) {Bacillus subtilis};Orf_Size=2207;Prot_Size(est)=80960.0
.,forsyth,gene,HP0117,126861,127784,conserved hypothetical protein {Methanococcus jannaschii},923,33880,.,+,.,gene=HP0117;Putative_Id=conserved hypothetical protein {Methanococcus jannaschii};Orf_Size=923;Prot_Size(est)=33880.0
.,forsyth,gene,HP0118,127934,129118,hypothetical protein,1184,43450,.,-,.,gene=HP0118;Putative_Id=hypothetical protein;Orf_Size=1184;Prot_Size(est)=43450.0
.,forsyth,gene,HP0119,129386,130768,hypothetical protein,1382,50710,.,-,.,gene=HP0119;Putative_Id=hypothetical protein;Orf_Size=1382;Prot_Size(est)=50710.0
.,forsyth,gene,HP0120,131056,132249,hypothetical protein,1193,43780,.,-,.,gene=HP0120;Putative_Id=hypothetical protein;Orf_Size=1193;Prot_Size(est)=43780.0
.,forsyth,gene,HP0121,132349,134784,phosphoenolpyruvate synthase (ppsA) {Escherichia coli},2435,89320,.,-,.,gene=HP0121;Putative_Id=phosphoenolpyruvate synthase (ppsA) {Escherichia coli};Orf_Size=2435;Prot_Size(est)=89320.0
.,forsyth,gene,HP0122,134971,135099,hypothetical protein,128,4730,.,+,.,gene=HP0122;Putative_Id=hypothetical protein;Orf_Size=128;Prot_Size(est)=4730.0
.,forsyth,gene,HP0123,135142,136977,threonyl-tRNA synthetase (thrS) {Escherichia coli},1835,67320,.,+,.,gene=HP0123;Putative_Id=threonyl-tRNA synthetase (thrS) {Escherichia coli};Orf_Size=1835;Prot_Size(est)=67320.0
.,forsyth,gene,HP0124,136977,137585,translation initiation factor IF-3 (infC) {Bacillus stearothermophilus},608,22330,.,+,.,gene=HP0124;Putative_Id=translation initiation factor IF-3 (infC) {Bacillus stearothermophilus};Orf_Size=608;Prot_Size(est)=22330.0
.,forsyth,gene,HP0125,137569,137760,ribosomal protein L35 (rpl35) {Pseudomonas syringae},191,7040,.,+,.,gene=HP0125;Putative_Id=ribosomal protein L35 (rpl35) {Pseudomonas syringae};Orf_Size=191;Prot_Size(est)=7040.0
