gene,-Val,strand,1' pH7,1' pH5,16' pH5,16' pH7,TSS
HP0220,228235,+,0,0,0,0,228285
HP0222,230563,+,3,2,2,2,230613
HP0223,230832,+,1,1,1,1,230882
HP0224,232386,+,0,0,0,0,232436
HP0226,234834,-,0,0,0,0,234784
HP0227,237168,-,0,0,0,0,237118
HP0228,237241,+,1,1,1,1,237291
HP0229,240275,-,0,0,0,0,240225
HP0230,241169,-,0,0,0,0,241119
HP0231,241086,+,0,0,0,0,241136
HP0232,241597,+,2,2,2,2,241647
HP0235,246276,-,1,1,1,1,246226
HP0243,252809,-,4,4,4,4,252759
HP0245,254680,-,2,2,2,2,254630
HP0246,255472,-,0,0,0,0,255422
HP0247,255446,+,1,1,1,1,255496
HP0251,261455,-,2,2,2,2,261405
HP0252,261617,+,0,0,0,0,261667
HP0255,264616,+,1,1,1,1,264666
HP0258,266803,+,0,0,0,0,266853
HP0261,270999,-,2,2,2,2,270949
HP0262,271034,+,0,0,0,0,271084
HP0264,272549,+,1,1,1,1,272599
HP0265,275166,+,1,1,1,1,275216
HP0268,278317,+,2,2,2,2,278367
HP0271,280500,+,5,5,5,5,280550
HP0275,283061,+,0,0,0,0,283111
HP0277,284957,+,0,0,0,0,285007
HP0281,290096,-,0,0,0,0,290046
HP0282,289951,+,0,0,0,0,290001
HP0285,293685,+,2,2,2,2,293735
HP0288,297276,+,4,4,4,4,297326
HP0289,297954,+,0,0,0,0,298004
HP0290,306676,+,2,2,2,2,306726
HP0294,310930,+,1,1,1,1,310980
HP0295,314849,-,0,0,0,0,314799
HP0296,314785,+,0,0,0,0,314835
HP0298,315498,+,0,0,0,0,315548
HP0304,321854,+,2,2,2,2,321904
HP0305,322985,+,0,0,0,0,323035
HP0312,327915,+,2,2,2,2,327965
HP0313,330182,-,2,2,2,2,330132
HP0316,331318,-,0,0,0,0,331268
HP0317,334239,-,0,0,0,0,334189
HP0318,335220,-,0,0,0,0,335170
HP0322,339390,-,0,0,0,0,339340
HP0323,339309,+,0,0,0,0,339359
HP0324,340786,-,2,2,2,2,340736
HP0325,340754,+,0,0,0,0,340804
HP0329,345355,-,2,2,2,2,345305
HP0330,345476,+,3,3,3,3,345526
HP0332,347125,+,2,2,2,2,347175
HP0335,348954,+,0,0,0,0,349004
HP0337,349690,+,2,2,2,2,349740
HP0340,350855,+,1,1,1,1,350905
HP0342,351476,+,2,2,2,2,351526
HP0346,353166,+,0,0,0,0,353216
HP0349,358144,-,1,1,1,1,358094
HP0350,358166,+,0,0,0,0,358216
HP0352,360581,+,7,7,7,7,360631
HP0355,364168,+,2,2,2,2,364218
HP0358,369516,-,0,0,0,0,369466
HP0360,370082,+,0,0,0,0,370132
HP0362,373205,-,2,2,2,2,373155
HP0364,374720,-,0,0,0,0,374670
HP0371,380241,-,0,0,0,0,380191
HP0372,380159,+,0,0,0,0,380209
HP0373,380851,+,0,0,0,0,380901
HP0375,384287,-,4,4,4,4,384237
HP0376,384209,+,4,4,4,4,384259
HP0377,385256,+,1,1,1,1,385306
HP0379,388772,+,2,2,2,2,388822
HP0380,391547,-,0,0,0,0,391497
HP0382,393677,-,0,0,0,0,393627
HP0383,393631,+,0,0,0,0,393681
HP0384,395172,-,0,0,0,0,395122
HP0385,395220,+,0,0,0,0,395270
HP0389,399144,-,2,2,2,2,399094
HP0390,399213,+,0,0,0,0,399263
HP0392,403034,-,1,1,1,1,402984
HP0393,404035,-,1,1,1,1,403985
HP0397,408911,-,3,3,3,3,408861
HP0398,409508,-,3,3,2,2,409458
HP0399,411186,-,0,0,0,0,411136
HP0403,416700,-,0,0,0,0,416650
HP0404,416614,+,2,2,2,2,416664
HP0407,418993,+,5,5,5,5,419043
HP0408,421532,+,0,1,1,1,421582
HP0410,423659,+,0,0,0,0,423709
HP0413,426888,-,1,1,1,1,426838
HP0414,426826,+,1,1,1,1,426876
HP0415,427595,+,2,2,2,2,427645
HP0416,430909,-,0,0,0,0,430859
HP0417,430814,+,3,3,3,3,430864
HP0420,434360,+,3,3,3,3,434410
HP0427,444650,-,2,2,2,2,444600
HP0433,451478,+,2,2,2,2,451528
HP0437,454894,-,0,0,0,0,454844
HP0438,454756,+,2,2,2,2,454806
HP0444,463951,-,2,2,2,2,463901
HP0462,481284,-,1,1,1,1,481234
HP0464,486012,-,2,2,2,2,485962
HP0470,492798,-,0,0,0,0,492748
HP0471,494280,-,0,0,0,0,494230
HP0472,495019,-,2,2,2,2,494969
HP0473,495087,+,2,2,1,2,495137
HP0476,498974,-,0,0,0,0,498924
HP0477,498946,+,0,0,0,0,498996
HP0480,502552,+,0,0,0,0,502602
HP0482,505283,+,3,3,3,3,505333
HP0484,506830,+,2,2,2,2,506880
HP0485,509153,-,0,0,0,0,509103
HP0486,509259,+,0,0,0,0,509309
HP0491,518549,-,0,0,0,0,518499
HP0492,519484,-,2,2,2,2,519434
HP0493,519444,+,2,2,2,2,519494
HP0496,522613,-,0,0,0,0,522563
HP0497,522539,+,0,0,0,0,522589
HP0498,524031,+,0,0,0,0,524081
HP0500,526472,+,1,1,1,1,526522
HP0502,529679,+,3,3,3,3,529729
HP0504,530891,+,0,0,0,0,530941
HP0506,531908,+,0,0,0,0,531958
HP0512,539770,-,2,2,2,2,539720
HP0513,539752,+,4,4,4,4,539802
HP0514,541937,+,0,0,0,0,541987
HP0519,547234,-,0,0,0,0,547184
HP0520,547222,+,2,2,2,2,547272
HP0523,549377,+,6,6,6,6,549427
HP0526,554229,-,4,4,4,4,554179
HP0528,561645,-,0,0,0,0,561595
HP0530,564128,-,0,0,0,0,564078
HP0531,564297,+,0,0,0,0,564347
HP0534,566830,-,0,0,0,0,566780
HP0535,567716,-,2,2,2,2,567666
HP0536,568572,-,0,0,0,0,568522
HP0537,568636,+,2,2,2,2,568686
HP0538,569337,+,3,3,3,3,569387
HP0539,572074,-,0,0,0,0,572024
HP0543,575250,-,1,0,1,1,575200
HP0546,579164,-,0,0,0,0,579114
HP0547,579767,+,4,4,4,4,579817
HP0550,586899,-,0,0,0,0,586849
HP0551,586890,+,0,0,0,0,586940
HP0556,591149,-,0,0,0,0,591099
HP0560,594486,-,3,3,3,3,594436
HP0562,595609,-,1,1,1,1,595559
HP0563,596956,-,0,0,0,0,596906
HP0564,596936,+,2,2,2,2,596986
HP0565,598033,-,0,0,0,0,597983
HP0566,598936,-,1,1,1,1,598886
HP0567,598902,+,1,1,1,1,598952
HP0570,603829,-,0,0,0,0,603779
HP0573,605319,-,2,2,2,2,605269
HP0575,606935,-,2,2,2,2,606885
HP0577,608299,-,2,2,2,2,608249
HP0579,611318,-,0,0,0,0,611268
HP0584,615320,-,1,1,1,1,615270
HP0585,616403,-,1,1,1,1,616353
HP0586,619191,-,0,0,0,0,619141
HP0587,618935,+,2,2,2,2,618985
HP0590,621250,+,4,4,4,4,621300
HP0596,630186,+,0,0,0,0,630236
HP0599,635344,-,2,2,2,2,635294
HP0600,637196,-,2,2,2,2,637146
HP0601,637182,+,0,0,0,0,637232
HP0602,638850,+,0,0,0,0,638900
HP0604,640161,+,0,0,0,0,640211
HP0609,647158,+,2,2,2,2,647208
HP0613,658422,-,1,1,1,1,658372
HP0614,659039,-,2,2,2,2,658989
HP0615,661118,-,0,0,0,0,661068
HP0616,661033,+,2,2,2,2,661083
HP0617,661967,+,3,3,3,3,662017
HP0620,665675,+,1,1,1,1,665725
HP0624,671567,-,0,0,0,0,671517
HP0625,671532,+,0,0,0,0,671582
HP0630,677872,-,0,0,0,0,677822
HP0631,677884,+,1,1,1,1,677934
HP0636,684101,-,2,2,2,2,684051
HP0637,684784,-,0,0,0,0,684734
HP0638,684690,+,0,0,0,0,684740
HP0639,686489,-,0,0,0,0,686439
HP0640,686403,+,2,2,2,2,686453
HP0643,688673,+,2,2,2,2,688723
HP0644,689867,+,3,3,3,3,689917
HP0651,698157,-,0,0,0,0,698107
HP0652,698895,-,2,2,2,2,698845
HP0653,699351,-,0,0,0,0,699301
HP0654,699494,+,0,0,0,0,699544
HP0655,700645,+,0,0,0,0,700695
HP0657,704262,+,4,4,4,4,704312
HP0661,709071,+,4,4,4,4,709121
HP0667,715011,+,0,0,0,0,715061
HP0669,716843,+,0,0,0,0,716893
HP0670,719485,+,3,3,3,3,719535
HP0671,721247,+,0,0,0,0,721297
HP0675,725232,+,4,4,4,4,725282
HP0680,731506,-,0,0,0,0,731456
HP0682,732569,-,0,0,0,0,732519
HP0683,734039,-,2,2,2,2,733989
HP0684,733976,+,2,2,2,2,734026
HP0686,737234,-,0,0,0,0,737184
HP0687,739435,-,0,0,0,0,739385
HP0688,739381,+,0,0,0,0,739431
HP0690,740484,+,0,0,0,0,740534
HP0694,744501,+,0,0,0,0,744551
HP0695,745713,+,0,0,0,0,745763
HP0698,750885,+,0,0,0,0,750935
HP0704,756886,+,2,2,2,2,756936
HP0705,760189,-,0,0,0,0,760139
HP0706,760192,+,2,2,2,2,760242
HP0708,762130,+,2,2,2,2,762180
HP0709,762688,+,0,0,0,0,762738
HP0710,763908,+,0,0,0,0,763958
HP0711,765992,+,0,0,0,0,766042
HP0717,772282,-,0,0,0,0,772232
HP0718,773024,-,0,0,0,0,772974
HP0719,773080,+,2,2,2,2,773130
HP0722,774291,+,0,0,0,0,774341
HP0723,777605,-,0,0,0,0,777555
HP0724,777524,+,0,0,0,0,777574
HP0725,781082,-,0,0,0,0,781032
HP0726,782328,-,0,0,0,0,782278
HP0730,785706,-,4,4,4,4,785656
HP0733,789330,-,3,3,3,3,789280
HP0736,792358,-,0,0,0,0,792308
HP0737,792348,+,0,0,0,0,792398
HP0738,792903,+,0,0,0,0,792953
HP0740,794217,+,0,0,0,0,794267
HP0742,796700,+,2,2,2,2,796750
HP0743,799021,-,0,0,0,0,798971
HP0744,800272,-,2,2,2,2,800222
HP0745,800253,+,4,4,4,4,800303
HP0748,803401,+,2,2,2,2,803451
HP0750,805026,+,2,2,2,2,805076
HP0751,806146,+,2,2,2,2,806196
HP0752,806647,+,5,5,5,5,806697
HP0755,809522,+,3,3,3,3,809572
HP0756,809877,+,0,0,0,0,809927
HP0761,816300,-,0,0,0,0,816250
HP0762,816227,+,0,0,0,0,816277
HP0767,820446,-,2,2,2,2,820396
HP0768,821522,-,0,0,0,0,821472
HP0769,821443,+,0,0,0,0,821493
HP0771,824181,-,5,5,5,5,824131
HP0773,826593,-,3,3,3,3,826543
HP0774,827777,-,0,0,0,0,827727
HP0776,830327,-,1,1,1,1,830277
HP0777,831091,-,1,0,0,0,831041
HP0778,831860,-,2,2,2,2,831810
HP0779,831829,+,2,2,2,2,831879
HP0782,836401,+,0,0,0,0,836451
HP0785,839521,-,4,4,4,4,839471
HP0786,839468,+,4,4,4,4,839518
HP0788,843469,+,0,0,0,0,843519
HP0791,849210,-,3,3,3,3,849160
HP0795,853063,-,0,0,0,0,853013
HP0796,854322,-,1,1,1,1,854272
HP0797,854867,-,0,0,0,0,854817
HP0799,856240,-,1,1,1,1,856190
HP0801,856904,-,1,1,1,1,856854
HP0802,857292,-,0,0,0,0,857242
HP0803,858209,-,0,0,0,0,858159
HP0804,859347,-,2,2,2,2,859297
HP0805,860368,-,1,1,1,1,860318
HP0806,860307,+,0,0,0,0,860357
HP0808,864172,-,0,0,0,0,864122
HP0811,865470,-,2,2,2,2,865420
HP0812,866939,-,0,0,0,0,866889
HP0813,866886,+,0,0,0,0,866936
HP0817,869838,+,0,0,0,0,869888
HP0818,870401,+,0,0,0,0,870451
HP0820,872881,+,2,2,2,2,872931
HP0824,876806,+,0,0,0,0,876856
HP0827,879792,-,0,0,0,0,879742
HP0828,880725,-,0,0,0,0,880675
HP0832,885118,-,3,3,3,3,885068
HP0833,886070,-,0,0,0,0,886020
HP0834,885982,+,0,0,0,0,886032
HP0835,887469,+,0,0,0,0,887519
HP0836,888400,+,4,4,4,4,888450
HP0848,900904,-,0,0,0,0,900854
HP0849,901320,-,2,2,2,2,901270
HP0850,902812,-,0,0,0,0,902762
HP0851,902794,+,0,0,0,0,902844
HP0853,906411,-,0,0,0,0,906361
HP0854,906449,+,5,5,5,5,906499
HP0859,913374,-,1,1,1,1,913324
HP0861,914833,-,3,3,3,3,914783
HP0863,916984,-,3,3,3,3,916934
HP0866,918488,-,0,0,0,0,918438
HP0869,920431,-,0,0,0,0,920381
HP0870,922654,-,0,0,0,0,922604
HP0871,923609,-,1,1,1,1,923559
HP0872,923791,+,0,0,0,0,923841
HP0874,925485,-,1,1,1,1,925435
HP0875,927193,-,0,0,0,0,927143
HP0876,927282,+,0,0,0,0,927332
HP0877,930348,-,2,2,2,2,930298
HP0878,930263,+,1,1,1,1,930313
HP0880,932161,-,2,2,2,2,932111
HP0881,932297,-,0,0,0,0,932247
HP0883,933636,-,2,2,2,2,933586
HP0884,935334,-,2,2,2,2,935284
HP0885,935219,+,0,0,0,0,935269
HP0886,936628,+,0,0,0,0,936678
HP0887,938251,+,0,0,0,0,938301
HP0890,945031,-,1,1,1,1,944981
HP0891,944968,+,1,1,1,1,945018
HP0893,946339,-,0,0,0,0,946289
HP0895,947042,-,0,0,0,0,946992
HP0896,949800,-,2,2,2,2,949750
HP0897,950083,+,0,0,0,0,950133
HP0900,952890,-,0,0,0,0,952840
HP0902,953858,-,1,1,1,1,953808
HP0905,956302,-,0,0,0,0,956252
HP0907,958048,+,2,2,2,2,958098
HP0909,960821,+,1,1,1,1,960871
HP0912,965022,+,0,0,0,0,965072
HP0914,970874,-,2,2,2,2,970824
HP0916,973561,-,0,0,0,0,973511
HP0917,973545,+,0,0,0,0,973595
HP0920,978314,-,0,0,0,0,978264
HP0921,978302,+,0,0,0,0,978352
HP0922,979356,+,3,3,3,3,979406
HP0923,986987,+,2,3,2,2,987037
HP0924,988519,-,0,0,0,0,988469
HP0925,988554,+,0,0,0,0,988604
HP0929,991755,+,2,2,2,2,991805
HP0930,992454,+,0,0,0,0,992504
HP0933,993947,+,1,1,1,1,993997
HP0938,999632,-,0,0,0,0,999582
HP0944,1005388,-,3,3,3,3,1005338
HP0947,1008344,+,0,0,0,0,1008394
HP0948,1010437,-,2,2,2,2,1010387
HP0950,1011634,-,1,1,1,1,1011584
HP0951,1011567,+,3,3,3,3,1011617
HP0953,1013564,-,0,0,0,0,1013514
HP0958,1017819,-,0,0,0,0,1017769
HP0961,1020402,-,0,0,0,0,1020352
HP0967,1026801,-,2,2,2,2,1026751
HP0972,1034731,-,2,2,2,2,1034681
HP0973,1034647,+,0,0,0,0,1034697
HP0974,1035699,+,0,0,0,0,1035749
HP0976,1039091,-,0,0,0,0,1039041
HP0977,1039027,+,2,2,2,2,1039077
HP0979,1042132,+,0,0,0,0,1042182
HP0980,1044360,+,1,1,1,1,1044410
HP0983,1046950,+,0,0,0,0,1047000
HP0985,1048559,-,6,6,6,6,1048509
HP0986,1049930,-,0,0,0,0,1049880
HP0987,1050592,+,3,3,3,3,1050642
HP0988,1051616,-,0,0,0,0,1051566
HP0989,1051478,+,2,2,2,2,1051528
HP0992,1054695,-,0,0,0,0,1054645
HP0993,1054693,+,0,0,0,0,1054743
HP0997,1061679,-,0,0,0,0,1061629
HP1001,1063161,+,0,0,0,0,1063211
HP1004,1066975,-,0,0,0,0,1066925
HP1005,1067067,+,0,0,0,0,1067117
HP1007,1069979,-,1,1,1,1,1069929
HP1008,1069917,+,1,1,1,1,1069967
HP1009,1071179,-,0,0,0,0,1071129
HP1014,1077420,+,0,0,0,0,1077470
HP1017,1079869,+,0,0,0,0,1079919
HP1018,1081350,+,0,0,0,0,1081400
HP1022,1085167,+,0,0,0,0,1085217
HP1023,1087539,-,0,0,0,0,1087489
HP1024,1087466,+,0,0,0,0,1087516
HP1027,1090121,+,0,0,0,0,1090171
HP1034,1096107,-,0,0,0,0,1096057
HP1038,1099146,-,0,0,0,0,1099096
HP1040,1100865,-,1,1,1,1,1100815
HP1041,1100833,+,2,2,2,2,1100883
HP1043,1105499,-,0,0,0,0,1105449
HP1044,1106960,-,0,0,0,0,1106910
HP1045,1106898,+,0,0,0,0,1106948
HP1050,1113990,-,1,1,1,1,1113940
HP1052,1115400,-,0,0,0,0,1115350
HP1057,1119848,-,0,0,0,0,1119798
HP1058,1119838,+,1,1,1,1,1119888
HP1060,1121720,+,0,0,0,0,1121770
HP1066,1126112,-,1,1,0,0,1126062
HP1067,1126133,+,0,0,0,0,1126183
HP1069,1127523,+,2,2,2,2,1127573
HP1073,1132551,+,0,0,0,0,1132601
HP1075,1135331,-,2,2,2,2,1135281
HP1077,1136982,-,0,0,0,0,1136932
HP1079,1138871,-,3,3,3,3,1138821
HP1082,1141818,-,0,0,0,0,1141768
HP1083,1143431,-,0,0,0,0,1143381
HP1084,1144525,-,2,2,2,2,1144475
HP1085,1144428,+,0,0,0,0,1144478
HP1092,1154942,+,2,2,2,2,1154992
HP1094,1156114,+,0,0,0,0,1156164
HP1095,1158079,-,0,0,0,0,1158029
HP1098,1159662,-,0,0,0,0,1159612
HP1100,1162208,-,0,0,0,0,1162158
HP1101,1162122,+,2,2,2,2,1162172
HP1104,1165254,+,0,0,0,0,1165304
HP1105,1167753,-,0,0,0,0,1167703
HP1106,1167753,+,1,1,1,1,1167803
HP1107,1169961,-,0,0,0,0,1169911
HP1108,1170044,+,2,2,2,2,1170094
HP1114,1177711,-,0,0,0,0,1177661
HP1116,1181553,-,0,0,0,0,1181503
HP1117,1182633,-,0,0,0,0,1182583
HP1118,1184494,-,1,1,1,1,1184444
HP1122,1188391,-,0,0,0,0,1188341
HP1125,1190777,-,3,3,3,3,1190727
HP1137,1199765,-,0,0,0,0,1199715
HP1138,1200809,-,4,4,4,4,1200759
HP1139,1201483,-,0,0,0,0,1201433
HP1143,1207013,-,0,0,0,0,1206963
HP1144,1206673,+,3,3,3,3,1206723
HP1146,1210692,-,4,4,4,4,1210642
HP1147,1211732,-,2,2,2,2,1211682
HP1151,1213529,-,3,3,3,3,1213479
HP1152,1214961,-,0,0,0,0,1214911
HP1153,1217620,-,2,2,2,2,1217570
HP1154,1217477,+,2,2,2,2,1217527
HP1155,1217793,+,1,1,1,1,1217843
HP1156,1219118,+,0,0,0,0,1219168
HP1161,1227545,-,2,2,2,2,1227495
HP1162,1228444,-,1,0,0,0,1228394
HP1163,1228158,+,2,2,2,2,1228208
HP1165,1230677,-,0,0,0,0,1230627
HP1166,1230538,+,3,3,3,3,1230588
HP1167,1232471,+,0,0,0,0,1232521
HP1168,1236459,-,0,0,0,0,1236409
HP1169,1236357,+,3,3,3,3,1236407
HP1170,1236926,+,0,0,0,0,1236976
HP1171,1237801,+,0,0,0,0,1237851
HP1172,1238621,+,0,0,0,0,1238671
HP1173,1239575,+,2,2,2,2,1239625
HP1174,1241769,-,0,0,0,0,1241719
HP1175,1243232,-,3,3,3,3,1243182
HP1177,1245623,-,0,0,0,0,1245573
HP1180,1249255,-,0,0,0,0,1249205
HP1181,1249438,+,1,1,1,1,1249488
HP1182,1250667,+,2,2,2,2,1250717
HP1183,1252809,-,5,5,5,5,1252759
HP1184,1254248,-,0,0,0,0,1254198
HP1185,1255587,-,0,0,0,0,1255537
HP1186,1255679,+,1,1,1,1,1255729
HP1187,1257976,-,0,0,0,0,1257926
HP1188,1259280,-,0,0,0,0,1259230
HP1189,1261176,-,0,0,0,0,1261126
HP1190,1262045,-,0,0,0,0,1261995
HP1191,1261960,+,0,0,0,0,1262010
HP1192,1263636,-,2,2,2,2,1263586
HP1194,1265114,-,3,3,3,3,1265064
HP1197,1268374,-,0,0,0,0,1268324
HP1203a,1280327,-,0,0,0,0,1280277
HP1205,1281959,-,0,0,0,0,1281909
HP1206,1282465,+,3,3,3,3,1282515
HP1207,1285070,-,0,0,0,0,1285020
HP1208,1286688,-,2,2,2,2,1286638
HP1210,1287776,-,2,2,2,2,1287726
HP1212,1288530,-,0,0,0,1,1288480
HP1216,1293636,-,2,2,2,2,1293586
HP1217,1294432,-,2,2,2,2,1294382
HP1221,1297161,-,0,0,0,0,1297111
HP1222,1300052,-,0,0,0,0,1300002
HP1223,1299969,+,4,4,4,4,1300019
HP1225,1300817,+,0,0,0,0,1300867
HP1226,1302677,-,2,2,2,2,1302627
HP1227,1302600,+,0,0,0,0,1302650
HP1228,1303036,+,0,0,0,0,1303086
HP1234,1308014,+,0,0,0,0,1308064
HP1239,1313572,-,2,2,2,2,1313522
HP1241,1316858,-,0,0,0,0,1316808
HP1242,1316774,+,1,1,1,1,1316824
HP1243,1320187,-,0,0,0,0,1320137
HP1245,1321459,-,2,2,2,2,1321409
HP1246,1321705,-,0,0,0,0,1321655
HP1250,1326557,-,0,0,0,0,1326507
HP1251,1327248,-,6,6,6,6,1327198
HP1253,1329961,-,0,0,0,0,1329911
HP1254,1330768,-,2,2,2,2,1330718
HP1255,1330713,+,2,2,2,2,1330763
HP1258,1332304,+,2,2,2,2,1332354
HP1260,1333727,+,0,0,0,0,1333777
HP1266,1337510,+,0,0,0,0,1337560
HP1282,1358843,-,1,1,1,1,1358793
HP1285,1362472,-,0,0,0,0,1362422
HP1286,1362440,+,0,0,0,0,1362490
HP1287,1363859,-,0,0,0,0,1363809
HP1288,1364252,+,4,4,4,4,1364302
HP1290,1365255,+,1,1,1,1,1365305
HP1297,1370389,-,0,0,0,0,1370339
HP1300,1373110,-,1,1,1,1,1373060
HP1320,1381331,-,0,0,0,0,1381281
HP1321,1381349,+,0,0,0,0,1381399
HP1325,1385687,-,2,2,2,2,1385637
HP1326,1385690,+,0,0,0,0,1385740
HP1332,1393749,-,0,0,0,0,1393699
HP1333,1393721,+,2,2,2,2,1393771
HP1335,1396997,-,0,0,0,0,1396947
HP1336,1396967,+,0,0,0,0,1397017
HP1338,1398898,-,2,2,2,2,1398848
HP1339,1398914,+,0,0,0,0,1398964
HP1340,1399435,+,4,4,4,4,1399485
HP1342,1400875,+,0,0,0,0,1400925
HP1345,1406218,-,2,2,2,2,1406168
HP1346,1407161,-,0,0,0,0,1407111
HP1350,1411235,-,2,2,2,2,1411185
HP1352,1413375,-,1,1,1,1,1413325
HP1353,1415089,-,0,0,0,0,1415039
HP1360,1421670,-,0,0,0,0,1421620
HP1361,1422968,-,0,0,0,0,1422918
HP1362,1424752,-,6,6,6,6,1424702
HP1365,1427654,-,2,2,2,2,1427604
HP1366,1429030,-,1,1,1,1,1428980
HP1368,1430698,-,2,2,2,2,1430648
HP1369m,1430784,+,2,2,2,2,1430834
HP1372,1437155,-,0,0,0,0,1437105
HP1376,1440841,-,0,0,0,0,1440791
HP1377,1441431,-,0,0,0,0,1441381
HP1378,1441366,+,1,1,1,1,1441416
HP1382,1446606,-,0,0,0,0,1446556
HP1384,1447559,-,1,1,1,1,1447509
HP1385,1448107,-,0,0,0,0,1448057
HP1386,1448023,+,0,0,0,0,1448073
HP1390,1451620,-,0,0,0,0,1451570
HP1392,1453698,-,2,2,2,2,1453648
HP1394,1455869,-,5,5,4,5,1455819
HP1395,1455926,+,2,2,2,2,1455976
HP1397,1458537,-,0,0,0,0,1458487
HP1398,1459798,-,1,1,1,1,1459748
HP1399,1459848,+,2,1,2,2,1459898
HP1400,1460978,+,2,2,2,2,1461028
HP1402,1467813,-,0,0,0,0,1467763
HP1403,1467730,+,0,0,0,0,1467780
HP1408,1477492,+,0,0,0,0,1477542
HP1409,1477826,+,0,0,0,0,1477876
HP1413,1484552,-,0,0,0,0,1484502
HP1414,1484458,+,3,4,3,4,1484508
HP1423,1495012,-,3,3,3,3,1494962
