seqname,source,feature,HP_number,gene_type,start,end,Putative_Id,Orf_Size,Prot_Size(est),score,strand,frame
.,forsyth,gene,HP0037,ENERGY METABOLISM,36556,37608,NADH-ubiquinone oxidoreductase subunit {Trypanosoma brucei},1052,38610,.,+,.
.,forsyth,gene,HP0038,HYPOTHETICAL PROTEIEN,37738,38472,hypothetical protein,734,26950,.,+,.
.,forsyth,gene,HP0039,HYPOTHETICAL PROTEIEN,38472,38741,hypothetical protein,269,9900,.,+,.
.,forsyth,gene,HP0040,HYPOTHETICAL PROTEIEN,38710,39450,hypothetical protein,740,27170,.,+,.
.,forsyth,gene,HP0041,HYPOTHETICAL PROTEIEN,39446,39814,hypothetical protein,368,13530,.,+,.
.,forsyth,gene,HP0042,CELLULAR PROCESSES,39880,40578,trbI protein {Escherichia coli},698,25630,.,+,.
.,forsyth,gene,HP0043,"PURINES, PYRIMIDINES, NUCLEOSIDES AND NUCLEOTIDES",40651,42060,mannose-6-phosphate isomerase (pmi) or (algA)  {Pseudomonas aeruginosa},1409,51700,.,+,.
.,forsyth,gene,HP0044,CELL ENVELOPE,42105,43247,GDP-D-mannose dehydratase (rfbD) {Vibrio cholerae},1142,41910,.,+,.
.,forsyth,gene,HP0045,"PURINES, PYRIMIDINES, NUCLEOSIDES AND NUCLEOTIDES",43243,44172,nodulation protein (nolK) {Azorhizobium caulinodans},929,34100,.,+,.
.,forsyth,gene,HP0046,HYPOTHETICAL PROTEIEN,44299,44433,hypothetical protein,134,4950,.,+,.
.,forsyth,gene,HP0047,CENTRAL INTERMEDIARY METABOLISM,45044,46039,hydrogenase expression/formation protein (hypE) {Rhodobacter capsulatus},995,36520,.,-,.
.,forsyth,gene,HP0048,REGULATORY FUNCTIONS,46045,48351,transcriptional regulator (hypF) {Rhodobacter capsulatus},2306,84590,.,-,.
.,forsyth,gene,HP0049,HYPOTHETICAL PROTEIEN,48294,49283,hypothetical protein,989,36300,.,-,.
.,forsyth,gene,HP0050,REPLICATION,49338,50033,adenine specific DNA methyltransferase (dpnA) {Streptococcus pneumonia},695,25520,.,-,.
.,forsyth,gene,HP0051,REPLICATION,50033,51097,cytosine specific DNA methyltransferase (DDEM) {Desulfovibrio desulfuricans},1064,39050,.,-,.
.,forsyth,gene,HP0052,HYPOTHETICAL PROTEIEN,51275,52264,hypothetical protein,989,36300,.,-,.
.,forsyth,gene,HP0053,HYPOTHETICAL PROTEIEN,52462,53718,hypothetical protein,1256,46090,.,-,.
.,forsyth,gene,HP0054,REPLICATION,53718,56186,adenine/cytosine DNA methyltransferase {Haemophilus paragallinarum},2468,90530,.,-,.
.,forsyth,gene,HP0055,TRANSPORT AND BINDING PROTEINS,56227,57714,proline permease (putP) {Escherichia coli},1487,54560,.,-,.
.,forsyth,gene,HP0056,ENERGY METABOLISM,57744,61298,delta-1-pyrroline-5-carboxylate dehydrogenase {Synechocystis sp.),3554,130350,.,-,.
.,forsyth,gene,HP0057,HYPOTHETICAL PROTEIEN,61619,61825,hypothetical protein,206,7590,.,+,.
.,forsyth,gene,HP0058,HYPOTHETICAL PROTEIEN,61943,63140,hypothetical protein,1197,43926.66667,.,+,.
.,forsyth,gene,HP0059,HYPOTHETICAL PROTEIEN,63145,63996,hypothetical protein,851,31240,.,+,.
.,forsyth,gene,HP0060,HYPOTHETICAL PROTEIEN,64016,66454,hypothetical protein,2438,89430,.,+,.
.,forsyth,gene,HP0061,HYPOTHETICAL PROTEIEN,66454,67020,hypothetical protein,566,20790,.,+,.
.,forsyth,gene,HP0062,HYPOTHETICAL PROTEIEN,67039,67296,hypothetical protein,257,9460,.,+,.
.,forsyth,gene,HP0063,HYPOTHETICAL PROTEIEN,67310,68797,hypothetical protein,1487,54560,.,+,.
.,forsyth,gene,HP0064,HYPOTHETICAL PROTEIEN,68770,69186,hypothetical protein,416,15290,.,+,.
.,forsyth,gene,HP0065,HYPOTHETICAL PROTEIEN,69191,69541,hypothetical protein,350,12870,.,+,.
.,forsyth,gene,HP0066,HYPOTHETICAL PROTEIN,69468,71960,conserved hypothetical ATP-binding protein {Bacillus subtilis},2492,91410,.,+,.
.,forsyth,gene,HP0067,CENTRAL INTERMEDIARY METABOLISM,72024,72818,urease accessory protein (ureH) {Helicobacter pylori},794,29150,.,-,.
.,forsyth,gene,HP0068,CENTRAL INTERMEDIARY METABOLISM,72821,73417,urease accessory protein (ureG) {Helicobacter pylori},596,21890,.,-,.
.,forsyth,gene,HP0069,CENTRAL INTERMEDIARY METABOLISM,73449,74210,urease accessory protein (ureF) {Helicobacter pylori},761,27940,.,-,.
.,forsyth,gene,HP0070,CENTRAL INTERMEDIARY METABOLISM,74236,74745,urease accessory protein (ureE) {Helicobacter pylori},509,18700,.,-,.
.,forsyth,gene,HP0071,CENTRAL INTERMEDIARY METABOLISM,74750,75334,urease accessory protein (ureI) {Helicobacter pylori},584,21450,.,-,.
.,forsyth,gene,HP0072,CENTRAL INTERMEDIARY METABOLISM,75530,77236,urease beta subunit (urea amidohydrolase) (ureB) {Helicobacter  pylori},1706,62590,.,-,.
.,forsyth,gene,HP0073,CENTRAL INTERMEDIARY METABOLISM,77243,77956,urease alpha subunit (ureA) (urea amidohydrolase) {Helicobacter pylori},713,26180,.,-,.
.,forsyth,gene,HP0074,CELLULAR PROCESSE,78305,78775,lipoprotein signal peptidase (lspA) {Helicobacter pylori},470,17270,.,-,.
.,forsyth,gene,HP0075,CENTRAL INTERMEDIARY METABOLISM,78772,80106,urease protein (ureC) {Helicobacter pylori},1334,48950,.,-,.
.,forsyth,gene,HP0076,TRANSLATION,80196,80462,ribosomal protein S20 (rps20) {Rhizobium meliloti},266,9790,.,+,.
.,forsyth,gene,HP0077,TRANSLATION,80589,81644,peptide chain release factor RF-1 (prfA) {Escherichia coli},1055,38720,.,+,.
.,forsyth,gene,HP0078,CELL ENVELOPE,82058,82312,hypothetical protein,254,9350,.,+,.
.,forsyth,gene,HP0079,CELL ENVELOPE,82326,84110,outer membrane protein (omp3),1784,65450,.,+,.
.,forsyth,gene,HP0080,HYPOTHETICAL PROTEIEN,84359,86137,hypothetical protein,1778,65230,.,+,.
.,forsyth,gene,HP0081,HYPOTHETICAL PROTEIEN,86410,86529,hypothetical protein,119,4400,.,+,.
.,forsyth,gene,HP0082,CELLULAR PROCESSES,86659,88677,methyl-accepting chemotaxis transducer (tlpC) {Bacillus subtilis},2018,74030,.,-,.
.,forsyth,gene,HP0083,TRANSLATION,88836,89222,ribosomal protein S9 (rps9) {Escherichia coli},386,14190,.,-,.
.,forsyth,gene,HP0084,TRANSLATION,89222,89644,ribosomal protein L13 (rpl13) {Escherichia coli},422,15510,.,-,.
.,forsyth,gene,HP0085,HYPOTHETICAL PROTEIEN,89960,90145,hypothetical protein,185,6820,.,-,.
.,forsyth,gene,HP0086,HYPOTHETICAL PROTEIEN,90155,91504,conserved hypothetical protein {Escherichia coli},1349,49500,.,-,.
.,forsyth,gene,HP0087,HYPOTHETICAL PROTEIEN,91561,92931,hypothetical protein,1370,50270,.,-,.
.,forsyth,gene,HP0088,REGULATORY FUNCTIONS,92955,94967,RNA polymerase sigma-70 factor (rpoD) {Haemophilus influenzae},2012,73810,.,-,.
.,forsyth,gene,HP0089,HYPOTHETICAL PROTEIEN,95194,95886,pfs protein (pfs) {Haemophilus influenzae},692,25410,.,-,.
.,forsyth,gene,HP0090,FATTY ACID AND PHOSPHOLIPID METABOLISM,95900,96826,malonyl coenzyme A-acyl carrier protein transacylase (fabD) {Haemophilus influenzae},926,33990,.,-,.
.,forsyth,gene,HP0091,REPLICATION,97256,98086,type II restriction enzyme R protein (hsdR) {Moraxella bovis},830,30470,.,+,.
.,forsyth,gene,HP0092,REPLICATION,98083,98913,type II restriction enzyme M protein (hsdM) {Moraxella bovis},830,30470,.,+,.
.,forsyth,gene,HP0093,HYPOTHETICAL PROTEIEN,98939,99268,hypothetical protein,329,12100,.,-,.
.,forsyth,gene,HP0094,HYPOTHETICAL PROTEIEN,99376,99840,conserved hypothetical protein {Yersinia enterocolitica},464,17050,.,-,.
.,forsyth,gene,HP0095,HYPOTHETICAL PROTEIEN,99942,100469,hypothetical protein,527,19360,.,-,.
.,forsyth,gene,HP0096,AMINO-ACID BIOSYNTHESIS,100542,101483,phosphoglycerate dehydrogenase {Methanococcus jannaschii},941,34540,.,+,.
.,forsyth,gene,HP0097,HYPOTHETICAL PROTEIEN,101646,102356,hypothetical protein,710,26070,.,-,.
.,forsyth,gene,HP0098,AMINO-ACID BIOSYNTHESIS,102464,103921,threonine synthase (thrC) {Haemophilus influenzae},1457,53460,.,-,.
.,forsyth,gene,HP0099,CELLULAR PROCESSES,104125,106149,methyl-accepting chemotaxis protein (tlpA) {Bacillus subtilis},2024,74250,.,+,.
.,forsyth,gene,HP0100,HYPOTHETICAL PROTEIEN,106152,107255,conserved hypothetical protein {Haemophilus influenzae},1103,40480,.,+,.
.,forsyth,gene,HP0101,HYPOTHETICAL PROTEIEN,107471,108229,hypothetical protein,758,27830,.,+,.
.,forsyth,gene,HP0102,HYPOTHETICAL PROTEIEN,108218,108994,conserved hypothetical protein {Yersinia enterocolitica},776,28490,.,-,.
.,forsyth,gene,HP0103,CELLULAR PROCESSES,109028,110722,methyl-accepting chemotaxis protein (tlpB) {Bacillus subtilis},1694,62150,.,-,.
.,forsyth,gene,HP0104,"PURINES, PYRIMIDINES, NUCLEOSIDES AND NUCLEOTIDES",110931,112673,"2',3'-cyclic-nucleotide 2'-phosphodiesterase (cpdB) {Haemophilus influenzae}",1742,63910,.,-,.
.,forsyth,gene,HP0105,HYPOTHETICAL PROTEIEN,112831,113295,conserved hypothetical protein {Haemophilus influenzae},464,17050,.,-,.
.,forsyth,gene,HP0106,AMINO-ACID BIOSYNTHESIS,113336,114475,cystathionine gamma-synthase (metB) {Haemophilus influenzae},1139,41800,.,-,.
.,forsyth,gene,HP0107,AMINO-ACID BIOSYNTHESIS,114503,115420,cysteine synthetase (cysK) {Bacillus subtilis},917,33660,.,-,.
.,forsyth,gene,HP0108,HYPOTHETICAL PROTEIEN,115459,116016,hypothetical protein,557,20460,.,+,.
.,forsyth,gene,HP0109,CELLULAR PROCESSES,116365,118224,chaperone and heat shock protein 70 (dnaK) {Rhizobium meliloti},1859,68200,.,-,.
.,forsyth,gene,HP0110,CELLULAR PROCESSES,118257,118823,co-chaperone and heat shock protein (grpE) {Bacillus subtilis},566,20790,.,-,.
.,forsyth,gene,HP0111,HYPOTHETICAL PROTEIEN,118826,119653,hypothetical protein,827,30360,.,-,.
.,forsyth,gene,HP0112,HYPOTHETICAL PROTEIEN,119980,120672,hypothetical protein,692,25410,.,+,.
.,forsyth,gene,HP0113,HYPOTHETICAL PROTEIEN,120696,120989,hypothetical protein,293,10780,.,+,.
.,forsyth,gene,HP0114,HYPOTHETICAL PROTEIEN,121005,122888,hypothetical protein,1883,69080,.,-,.
.,forsyth,gene,HP0115,CELL ENVELOPE,122951,124492,flagellin B (flaB) {Helicobacter pylori},1541,56540,.,-,.
.,forsyth,gene,HP0116,REPLICATION,124658,126865,DNA topoisomerase I (topA) {Bacillus subtilis},2207,80960,.,+,.
.,forsyth,gene,HP0117,HYPOTHETICAL PROTEIEN,126861,127784,conserved hypothetical protein {Methanococcus jannaschii},923,33880,.,+,.
.,forsyth,gene,HP0118,HYPOTHETICAL PROTEIEN,127934,129118,hypothetical protein,1184,43450,.,-,.
.,forsyth,gene,HP0119,HYPOTHETICAL PROTEIEN,129386,130768,hypothetical protein,1382,50710,.,-,.
.,forsyth,gene,HP0120,HYPOTHETICAL PROTEIEN,131056,132249,hypothetical protein,1193,43780,.,-,.
.,forsyth,gene,HP0121,ENERGY METABOLISM,132349,134784,phosphoenolpyruvate synthase (ppsA) {Escherichia coli},2435,89320,.,-,.
.,forsyth,gene,HP0122,HYPOTHETICAL PROTEIEN,134971,135099,hypothetical protein,128,4730,.,+,.
.,forsyth,gene,HP0123,TRANSLATION,135142,136977,threonyl-tRNA synthetase (thrS) {Escherichia coli},1835,67320,.,+,.
.,forsyth,gene,HP0124,TRANSLATION,136977,137585,translation initiation factor IF-3 (infC) {Bacillus stearothermophilus},608,22330,.,+,.
.,forsyth,gene,HP0125,TRANSLATION,137569,137760,ribosomal protein L35 (rpl35) {Pseudomonas syringae},191,7040,.,+,.
.,forsyth,gene,HP0126,TRANSLATION,137857,138204,ribosomal protein L20 (rpl20) {Pseudomonas syringae},347,12760,.,+,.
.,forsyth,gene,HP0127,CELL ENVELOPE,138407,139264,outer membrane protein (omp4),857,31460,.,+,.
.,forsyth,gene,HP0128,HYPOTHETICAL PROTEIEN,139319,139441,hypothetical protein,122,4510,.,+,.
.,forsyth,gene,HP0129,HYPOTHETICAL PROTEIEN,139617,140039,hypothetical protein,422,15510,.,+,.
.,forsyth,gene,HP0130,HYPOTHETICAL PROTEIEN,140453,141310,hypothetical protein,857,31460,.,+,.
.,forsyth,gene,HP0131,HYPOTHETICAL PROTEIEN,142028,142126,hypothetical protein,98,3630,.,+,.
.,forsyth,gene,HP0132,ENERGY METABOLISM,142230,143594,L-serine deaminase (sdaA) {Escherichia coli},1364,50050,.,-,.
.,forsyth,gene,HP0133,TRANSPORT AND BINDING PROTEINS,143597,144835,serine transporter (sdaC) {Escherichia coli},1238,45430,.,-,.
.,forsyth,gene,HP0134,AMINO-ACID BIOSYNTHESIS,145016,146362,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase (dhs1) {Arabidopsis thaliana},1346,49390,.,+,.
.,forsyth,gene,HP0135,HYPOTHETICAL PROTEIEN,146444,146575,hypothetical protein,131,4840,.,+,.
.,forsyth,gene,HP0136,HYPOTHETICAL PROTEIEN,146816,147271,bacterioferritin comigratory protein (bcp) {Escherichia coli},455,16720,.,-,.
.,forsyth,gene,HP0137,HYPOTHETICAL PROTEIEN,147284,147916,hypothetical protein,632,23210,.,-,.
.,forsyth,gene,HP0138,HYPOTHETICAL PROTEIEN,147912,149354,conserved hypothetical iron-sulfur protein {Escherichia coli},1442,52910,.,-,.
.,forsyth,gene,HP0139,HYPOTHETICAL PROTEIEN,149386,150111,conserved hypothetical secreted protein {Escherichia coli},725,26620,.,-,.
.,forsyth,gene,HP0140,TRANSPORT AND BINDING PROTEINS,150342,151988,L-lactate permease (lctP) {Escherichia coli},1646,60390,.,+,.
.,forsyth,gene,HP0141,TRANSPORT AND BINDING PROTEINS,152048,153700,L-lactate permease (lctP) {Escherichia coli},1652,60610,.,+,.
.,forsyth,gene,HP0142,REPLICATION,153730,154713,A/G-specific adenine glycosylase (mutY) {Escherichia coli},983,36080,.,-,.
.,forsyth,gene,HP0143,TRANSPORT AND BINDING PROTEINS,154717,156164,2-oxoglutarate/malate translocator (SODiT1) {Haemophilus influenzae},1447,53093.33333,.,-,.
.,forsyth,gene,HP0144,ENERGY METABOLISM,156334,157797,"cytochrome c oxidase, heme b and copper-binding subunit, membrane-bound (fixN) {Rhizobium meliloti}",1463,53680,.,+,.
.,forsyth,gene,HP0145,ENERGY METABOLISM,157813,158508,"cytochrome c oxidase, monoheme subunit, membrane-bound (fixO) {Bradyrhizobium japonicum}",695,25520,.,+,.
.,forsyth,gene,HP0146,ENERGY METABOLISM,158519,158737,cbb3-type cytochrome c oxidase subunit Q (CcoQ) {Rhodobacter sphaeroides},218,8030,.,+,.
.,forsyth,gene,HP0147,ENERGY METABOLISM,158742,159599,"cytochrome c oxidase, diheme subunit, membrane-bound (fixP) {Rhizobium meliloti}",857,31460,.,+,.
.,forsyth,gene,HP0148,HYPOTHETICAL PROTEIEN,159630,159833,hypothetical protein,203,7480,.,+,.
.,forsyth,gene,HP0149,HYPOTHETICAL PROTEIEN,159937,160518,hypothetical protein,581,21340,.,+,.
.,forsyth,gene,HP0150,HYPOTHETICAL PROTEIEN,160534,161121,hypothetical protein,587,21560,.,+,.
.,forsyth,gene,HP0151,HYPOTHETICAL PROTEIEN,161157,161966,conserved hypothetical membrane protein {Bacillus subtilis},809,29700,.,+,.
.,forsyth,gene,HP0152,HYPOTHETICAL PROTEIEN,161969,162829,hypothetical protein,860,31570,.,-,.
.,forsyth,gene,HP0153,REPLICATION,162928,163968,recombinase (recA) {Helicobacter pylori},1040,38170,.,+,.
.,forsyth,gene,HP0154,ENERGY METABOLISM,163983,165260,enolase (eno) {Bacillus subtilis},1277,46860,.,+,.
.,forsyth,gene,HP0155,HYPOTHETICAL PROTEIEN,165256,165528,hypothetical protein,272,10010,.,+,.
.,forsyth,gene,HP0156,HYPOTHETICAL PROTEIEN,165543,166142,hypothetical protein,599,22000,.,+,.
.,forsyth,gene,HP0157,AMINO-ACID BIOSYNTHESIS,166150,166635,shikimic acid kinase I (aroK) {Haemophilus influenzae},485,17820,.,+,.
.,forsyth,gene,HP0158,HYPOTHETICAL PROTEIEN,166660,167613,hypothetical protein,953,34980,.,+,.
.,forsyth,gene,HP0159,CELL ENVELOPE,167616,168731,"lipopolysaccharide 1,2-glucosyltransferase (rfaJ) {Escherichia coli}",1115,40920,.,-,.
.,forsyth,gene,HP0160,HYPOTHETICAL PROTEIEN,168882,169799,conserved hypothetical secreted protein {Escherichia coli},917,33660,.,+,.
.,forsyth,gene,HP0161,HYPOTHETICAL PROTEIEN,170145,170252,hypothetical protein,107,3960,.,+,.
.,forsyth,gene,HP0162,HYPOTHETICAL PROTEIEN,170707,171426,conserved hypothetical protein {Pseudomonas aeruginosa},719,26400,.,-,.
.,forsyth,gene,HP0163,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",171430,172398,delta-aminolevulinic acid dehydratase (hemB) {Bacillus subtilis},968,35530,.,-,.
.,forsyth,gene,HP0164,REGULATORY FUNCTIONS,172473,173234,"signal-transducing protein, histidine kinase {Bacillus subtilis}",761,27940,.,-,.
.,forsyth,gene,HP0165,HYPOTHETICAL PROTEIEN,173234,173752,hypothetical protein,518,19030,.,-,.
.,forsyth,gene,HP0166,REGULATORY FUNCTIONS,173781,174455,response regulator (ompR) {Campylobacter jejuni},674,24750,.,-,.
.,forsyth,gene,HP0167,HYPOTHETICAL PROTEIEN,174694,175164,hypothetical protein,470,17270,.,-,.
.,forsyth,gene,HP0168,HYPOTHETICAL PROTEIEN,175146,175406,hypothetical protein,260,9570,.,-,.
.,forsyth,gene,HP0169,TRANSLATION,175456,176721,collagenase (prtC) {Haemophilus influenzae},1265,46420,.,-,.
.,forsyth,gene,HP0170,HYPOTHETICAL PROTEIEN,176727,177485,hypothetical protein,758,27830,.,-,.
.,forsyth,gene,HP0171,TRANSLATION,177563,178651,peptide chain release factor RF-2 (prfB) {Escherichia coli},1088,39930,.,-,.
.,forsyth,gene,HP0172,"BIOSYNTHESIS OF COFACTORS, PROSTHETIC GROUPS, AND CARRIERS",178715,179887,molybdopterin biosynthesis protein (moeA) {Escherichia coli},1172,43010,.,-,.
.,forsyth,gene,HP0173,CELL ENVELOPE,179900,180664,flagellar biosynthetic protein (fliR) {Bacillus subtilis},764,28050,.,-,.
.,forsyth,gene,HP0174,HYPOTHETICAL PROTEIEN,180661,181434,hypothetical protein,773,28380,.,-,.
.,forsyth,gene,HP0175,CELL ENVELOPE,181865,182761,cell binding factor 2 {Campylobacter jejuni},896,32890,.,+,.
.,forsyth,gene,HP0176,ENERGY METABOLISM,182781,183701,fructose-bisphosphate aldolase (tsr) {Bacillus subtilis},920,33770,.,+,.
.,forsyth,gene,HP0177,TRANSLATION,183726,184286,translation elongation factor EF-P (efp) {Escherichia coli},560,20570,.,+,.
.,forsyth,gene,HP0178,CELL ENVELOPE,184801,185820,spore coat polysaccharide biosynthesis protein E {Methanococcus jannaschii},1019,37400,.,-,.
.,forsyth,gene,HP0179,TRANSPORT AND BINDING PROTEINS,185827,186465,"ABC transporter, ATP-binding protein {Escherichia coli}",638,23430,.,-,.
.,forsyth,gene,HP0180,CELL ENVELOPE,186465,187739,apolipoprotein N-acyltransferase (cute) {Haemophilus influenzae},1274,46750,.,-,.
.,forsyth,gene,HP0181,HYPOTHETICAL PROTEIEN,187997,188668,hypothetical protein,671,24640,.,+,.
.,forsyth,gene,HP0182,TRANSLATION,188681,190183,lysyl-tRNA synthetase (lysS) {Campylobacter jejuni},1502,55110,.,+,.
.,forsyth,gene,HP0183,AMINO-ACID BIOSYNTHESIS,190186,191433,serine hydroxymethyltransferase (glyA) {Escherichia coli},1247,45760,.,+,.
.,forsyth,gene,HP0184,HYPOTHETICAL PROTEIEN,191447,191986,hypothetical protein,539,19800,.,+,.
.,forsyth,gene,HP0185,HYPOTHETICAL PROTEIEN,192011,192811,hypothetical protein,800,29370,.,+,.
.,forsyth,gene,HP0186,HYPOTHETICAL PROTEIEN,193213,194424,hypothetical protein,1211,44440,.,-,.
.,forsyth,gene,HP0187,HYPOTHETICAL PROTEIEN,194454,194738,hypothetical protein,284,10450,.,-,.
.,forsyth,gene,HP0188,HYPOTHETICAL PROTEIEN,194802,194900,hypothetical protein,98,3630,.,-,.
.,forsyth,gene,HP0189,HYPOTHETICAL PROTEIEN,195057,195587,conserved hypothetical integral membrane protein {Escherichia coli},530,19470,.,+,.
.,forsyth,gene,HP0190,HYPOTHETICAL PROTEIEN,195599,197104,conserved hypothetical secreted protein {Escherichia coli},1505,55220,.,-,.
.,forsyth,gene,HP0191,ENERGY METABOLISM,197129,197863,"fumarate reductase, iron-sulfur subunit (frdB) {Wolinella succinogenes}",734,26950,.,-,.
.,forsyth,gene,HP0192,ENERGY METABOLISM,197859,200000,"fumarate reductase, flavoprotein subunit (frdA) {Wolinella succinogenes}",2141,78540,.,-,.
.,forsyth,gene,HP0193,ENERGY METABOLISM,200013,200777,"fumarate reductase, cytochrome b subunit (frdC) {Wolinella succinogenes}",764,28050,.,-,.
.,forsyth,gene,HP0194,ENERGY METABOLISM,200992,201693,triosephosphate isomerase (tpi) {Mycoplasma hyopneumoniae},701,25740,.,+,.
.,forsyth,gene,HP0195,FATTY ACID AND PHOSPHOLIPID METABOLISM,201706,202530,enoyl-(acyl-carrier-protein) reductase (NADH) (fabI) {Escherichia coli},824,30250,.,+,.
.,forsyth,gene,HP0196,CELL ENVELOPE,202543,203550,UDP-3-0-(3-hydroxymyristoyl) glucosamine N-acyltransferase (lpxD) {Rickettsia rickettsii},1007,36960,.,+,.
.,forsyth,gene,HP0197,CENTRAL INTERMEDIARY METABOLISM,203618,204772,S-adenosylmethionine synthetase 2 (metX) {Escherichia coli},1154,42350,.,+,.
